Animal_ID,Genotype,DSI,Firing_rate_Hz
1,WT,0.6267,25.03
2,WT,0.7054,22.66
3,WT,0.6135,23.19
4,WT,0.5448,21.38
5,WT,0.6461,21.77
6,WT,0.6002,26.45
7,WT,0.6864,30.84
8,WT,0.5516,17.48
9,WT,0.7069,29.06
10,WT,0.6135,25.96
11,WT,0.6194,27.82
12,WT,0.6803,23.72
13,WT,0.5576,20.06
14,WT,0.5591,22.2
15,Drd1-KO,0.3758,27.93
16,Drd1-KO,0.3163,23.61
17,Drd1-KO,0.4438,20.16
18,Drd1-KO,0.4707,25.0
19,Drd1-KO,0.4275,20.08
20,Drd1-KO,0.4652,23.93
21,Drd1-KO,0.3262,23.94
22,Drd1-KO,0.5345,27.94
23,Drd1-KO,0.4373,24.76
24,Drd1-KO,0.4532,23.6
25,Drd1-KO,0.5072,28.55
26,Drd1-KO,0.4049,22.54
27,Drd1-KO,0.6576,20.87
28,Drd1-KO,0.5499,20.96
