Subject,Condition,DSI,Firing_rate_Hz,Response_latency_ms
1,Vehicle,0.5274,22.729999999999997,185.0
2,Vehicle,0.6432,22.729999999999997,185.8
3,Vehicle,0.6825,22.729999999999997,183.6
4,Vehicle,0.6635,22.729999999999997,183.55
5,Vehicle,0.5431,20.03,167.7
6,Vehicle,0.7057,18.38,175.5
7,Vehicle,0.6761,23.08,170.1
8,Vehicle,0.6764,21.24,154.4
9,Vehicle,0.6796,22.729999999999997,185.5
10,Vehicle,0.7083,21.59,170.5
11,Vehicle,0.7994,22.729999999999997,178.8
12,Vehicle,0.5711,22.38,183.55
13,Vehicle,0.6238,25.09,183.5
14,Vehicle,0.7603,24.16,181.6
15,Vehicle,0.513,24.05,196.1
16,Vehicle,0.646,19.49,198.7
1,SCH23390,0.585,17.89,184.2
2,SCH23390,0.3983,25.67,161.9
3,SCH23390,0.5837,18.69,207.4
4,SCH23390,0.4295,22.25,191.4
5,SCH23390,0.3473,24.31,196.9
6,SCH23390,0.3657,19.37,164.5
7,SCH23390,0.5286,17.46,192.3
8,SCH23390,0.501,23.6,184.1
9,SCH23390,0.5426,20.29,208.0
10,SCH23390,0.3663,18.79,166.4
11,SCH23390,0.4128,23.54,195.3
12,SCH23390,0.3442,20.14,205.8
13,SCH23390,0.282,22.53,172.1
14,SCH23390,0.4386,17.14,191.6
15,SCH23390,0.5666,23.9,173.7
16,SCH23390,0.529,17.21,190.6
